Type ,Name ,Preparation Time ,Cook Time ,Total Time ,Servings,Ingredients ,Directions 
Thai,Spicy Thai Basil Chicken ,15 mins,10 mins,25 mins,2,"cup chicken broth, 1 tablespoon oyster sauce, 1 tablespoon soy sauce, or as needed, 2 teaspoons fish sauce, 1 teaspoon white sugar, 1 teaspoon brown sugar, 2 tablespoons vegetable oil, 1 pound skinless, boneless chicken thighs, coarsely chopped, 1/4 cup sliced shallots, 4 cloves garlic, minced, 2 tablespoons minced Thai chilies, Serrano, or other hot pepper, 1 cup very thinly sliced fresh basil leaves, 2 cups hot cooked rice","Gather ingredients. A top down view looking at ingredients for spicy basil chicken gathered in small glass bowls on a marble countertop. Whisk chicken broth, oyster sauce, soy sauce, fish sauce, white sugar, and brown sugar together in a bowl until well blended. Heat large skillet over high heat. Drizzle in oil. Add chicken and stir fry until it loses its raw color, 2 to 3 minutes. A chicken being added to a hot skillet; stir fried until cooked through. Stir in shallots, garlic, and sliced chilies. Continue cooking on high heat until some of the juices start to caramelize in the bottom of the pan, about 2 or 3 more minutes. shallots, garlic, and sliced chilies added to chicken being stir fried in a hot skillet. Add about a tablespoon of the sauce mixture to the skillet; cook and stir until sauce begins to caramelize, about 1 minute. A top down view of a tablespoon of sauce being added to a skillet of chicken and vegetables being stir fried. Pour in the rest of the sauce. Cook and stir until sauce has deglazed the bottom of the pan. Continue to cook until sauce glazes onto the meat, 1 or 2 more minutes. Remove from heat. View of spicy chicken stir fry with a bowl of fresh basil waiting to be added.  Stir in basil. Cook and stir until basil is wilted, about 20 seconds. Serve with rice."
Thai,Chicken Satay,25 mins,10 mins (Additional : 2 hrs),2 hrs 35 mins,5,"1/2 cup coconut milk, 1 clove garlic, minced, 1 1/2  teaspoons brown sugar, 1 teaspoon curry powder, ½ teaspoon salt, ½ teaspoon ground black pepper, ¾ pound skinless, boneless chicken breast halves - cut into 1 inch strips, 10 (6 inches) wooden skewers, or as needed, soaked in water for 30 minutes. Peanut Sauce: 1 cup coconut milk, ¾ cup chicken stock, ½ cup creamy peanut butter, ¼ cup brown sugar, 1 tablespoon curry powder, 2 tablespoons lime or lemon juice, 1 teaspoon soy sauce, salt to taste. ","Make the chicken: Whisk coconut milk, garlic, brown sugar, curry powder, salt, and pepper together in a large glass or ceramic bowl. Add chicken and toss to evenly coat. Cover the bowl with plastic wrap and marinate in the refrigerator for at least 2 hours. Preheat an outdoor grill for medium-high heat and lightly oil the grate. Remove chicken from marinade and shake off excess. Thread marinated chicken onto skewers; discard remaining marinade. Make the peanut sauce: Whisk coconut milk, chicken stock, peanut butter, brown sugar, and curry powder together in a saucepan over medium-high heat until simmering. Reduce the heat and simmer, whisking constantly, until smooth and thickened, about 5 minutes. Remove from the heat and stir in lime juice, soy sauce, and salt. While the sauce is coming to a simmer, cook chicken skewers on the preheated grill until no longer pink in the center and the juices run clear, 4 to 5 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Serve skewers with warm peanut sauce."
Thai,Sukhothai Pad Thai ,10 mins,10 mins,30 mins,8,"1/2 cup white sugar, 1/2 cup distilled white vinegar, 1/4 cup soy sauce, 2 tablespoons tamarind pulp, 1 (12 ounces) package dried rice noodles, 1/2  cup vegetable oil, 1 1/2  teaspoons minced garlic, 4 eggs, 1 (12 ounces) package firm tofu, cut into 1/2 inch strips, 1 1/2  tablespoons white sugar,1 1/2 teaspoons salt, 1 1/2 cups ground peanuts, 1 1/2 teaspoons ground, dried oriental radish, 1/2 cup chopped fresh chives, 1 tablespoon paprika, 2 cups fresh bean sprouts, 1 lime, cut into wedges. ","To prepare pad thai sauce: In a medium saucepan over medium heat, blend sugar, vinegar, soy sauce, and tamarind pulp. To make pad thai: Soak rice noodles in cold water until soft; drain. In a large skillet or wok over medium heat, warm oil and add garlic and eggs; scramble eggs. Add tofu and stir until well mixed; add noodles and stir until cooked. Stir in pad Thai sauce, 1 1/2 tablespoons sugar, and 1 1/2 teaspoons salt. Stir in peanuts and ground radish. Remove from heat and add chives and paprika. Serve with lime and bean sprouts on the side. "
Thai, Thai -style Tilapia ,15 mins,20 mins,35 mins,4,"1/2 cup coconut milk,6 whole almonds, 2 tablespoons chopped white onion, 1 teaspoon ground ginger, 1/2 teaspoon ground turmeric, 1 teaspoon chopped fresh lemon grass, 1/4 teaspoon salt, 4 (4 ounce) fillets tilapia, salt and pepper to taste,1/2 teaspoon red pepper flakes, or to taste","In a food processor or blender, combine the coconut milk, almonds, onion, ginger, turmeric, lemon grass, and 1/4 teaspoon of salt. Process until smooth. Heat a large non-stick skillet over medium-high heat. Season the fish fillets with salt and pepper on both sides, then place them skin-side up in the skillet. Pour the pureed sauce over the fish. Use a spatula to coat the fish evenly with the sauce. Sprinkle with red pepper flakes. Reduce heat to medium, cover, and simmer for about 15 minutes, until the puree is thickened and fish flakes easily with a fork."
Thai, Thai-style Shrimp ,10 mins,20 mins,30 mins,4,"4 cloves garlic, peeled, 1 (1 inch) piece fresh ginger root, 1 fresh jalapeno pepper, seeded, ½ teaspoon salt, ½ teaspoon ground turmeric, 2 tablespoons vegetable oi, 1 medium onion, diced, 1 pound medium shrimp - peeled and deveined, 2 tomatoes, seeded and diced, 1 cup coconut milk, 3 tablespoons chopped fresh basil leaves","Combine the garlic, ginger, jalapeno, salt and turmeric in the container of a food processor or blender. Process to a smooth paste. Set aside. Heat oil in a skillet over medium heat. Add onion, and cook until translucent, stirring frequently. Mix in the spice paste, and cook for a few minutes to release the oils. Add shrimp, and cook for a few minutes until pink, then add the tomatoes and coconut milk. Cover, and simmer for about 5 minutes, then remove the lid and simmer an additional 5 minutes to thicken the sauce. Stir in the fresh basil during the last minute of cooking."
Chinese,Pork Dumplings ,20 mins,1 hr,1 hr 20 mins,5,"Dipping Sauce: ½ cup soy sauce, 1 tablespoon seasoned rice vinegar, 1 tablespoon finely chopped Chinese chives, 1 tablespoon sesame seeds, 1 teaspoon chile-garlic sauce (such as Sriracha) . Dumplings: 1 pound ground pork, 3 cloves garlic, minced, 1 large egg, beaten, 2 tablespoons finely chopped Chinese chives, 2 tablespoons soy sauce, 1 ½ tablespoons sesame oil, 1 tablespoon minced fresh ginger, 50 dumpling wrappers, ½ cup vegetable oil for frying, or as needed. ","Prepare dipping sauce: Combine soy sauce, rice vinegar, chives, sesame seeds, and chile sauce in a small bowl. Set aside. Dumpling dipping sauce being whisked together in a glass bowl.  Prepare dumplings: Mix pork, garlic, egg, chives, soy sauce, sesame oil, and ginger in a large bowl until thoroughly combined. Place a dumpling wrapper on a lightly floured work surface and spoon about 1 tablespoon of the filling in the middle.  Wet the edge with a little water and crimp together forming small pleats to seal the dumpling. Repeat to form remaining dumplings. Heat 1 to 2 tablespoons vegetable oil in a large skillet over medium-high heat. Place 8 to 10 dumplings in the pan and cook until browned, about 2 minutes per side. Pour in 1 cup of water; cover and cook until the dumplings are tender and pork is cooked through, about 5 minutes. Repeat to cook remaining dumplings, adding more oil and water for each batch. Serve dumplings with dipping sauce."
Chinese,Corn Soup ,5 mins,10 mins,15 mins,4,"1 (15 ounce) can cream style corn, 1 (14.5 ounce) can low-sodium chicken broth, 1 tablespoon cornstarch, 2 tablespoons water, 1 large egg, beaten","Combine corn and chicken broth in a saucepan. Bring to a boil over medium-high heat. Mix together cornstarch and water in a small bowl or cup; pour into the boiling corn soup, and continue cooking for about 2 minutes, or until thickened. Gradually add beaten egg while stirring the soup. Remove from heat and serve."
Chinese,Pepper Streak ,15 mins,15 mins,30 mins,4,"1 pound beef top sirloin steak, ¼ cup soy sauce, 2 tablespoons white sugar, 2 tablespoons cornstarch, ½ teaspoon ground ginger, 3 tablespoons vegetable oil, divided, 1 red onion, cut into 1-inch squares, 1 green bell pepper, cut into 1-inch squares, 2 tomatoes, cut into wedges","Slice steak into 1/2-inch thick slices across the grain. Whisk together soy sauce, sugar, cornstarch, and ginger in a bowl until the sugar has dissolved and the mixture is smooth. Place steak slices into the marinade, and stir until well-coated. Heat 1 tablespoon vegetable oil in a wok or large skillet over medium-high heat, and cook steak strips in batches in hot oil so as not to crowd the pan. Cook and stir until well-browned, about 3 minutes, and remove steak from the wok to a bowl. Repeat with remaining steak, adding more oil as needed, and set the cooked meat aside. Return cooked steak strips to the hot wok, and stir in onion. Toss steak and onion together until onion begins to soften, about 2 minutes, then stir in green pepper. Cook and stir the mixture until peppers have turned bright green and started to become tender, about 2 minutes more, then add tomatoes.  Stir everything together to mix and blend flavors, and serve."
Chinese, Chicken Wings ,5 mins,1 hr 5 mins (Additional: 8 hrs),9 hrs 10 mins,12,"2 cups soy sauce, 2 cups brown sugar, 2 tablespoons garlic powder, 5 pounds chicken wings, split and tips discarded","Stir together soy sauce, brown sugar, and garlic powder in a saucepan over medium heat. Cook and stir until sugar has dissolved. Remove from heat and allow to cool. Place chicken wings in a large bowl. Pour soy sauce mixture over wings and toss to coat evenly. Cover the bowl with plastic wrap. Allow chicken to marinate in the refrigerator for 8 hours to overnight. Preheat the oven to 350 degrees F (175 degrees C). Pour chicken wings and marinade into a 9x13-inch baking dish. Cover the baking dish with aluminum foil. Bake in the preheated oven until thoroughly hot, about 45 minutes. Remove foil and bake for 15 more minutes. Serve hot."
Chinese,Easy fried noodles ,15 mins,25 mins,40 mins,6,"2 (3 ounce) packages soy sauce-flavored ramen noodles with seasoning packets, 2 tablespoons vegetable oil, divided, 3 large eggs, beaten, 2 teaspoons vegetable oil, divided, 4 green onions, thinly sliced, 1 small carrot, peeled and grated, ½ cup green peas, ¼ cup red bell pepper, minced, 2 tablespoons sesame oil, 1 teaspoon sesame oil, or to taste, 1 teaspoon soy sauce, or to taste","Bring a medium pot of water to a boil. Cook ramen noodles, reserving seasoning packets, in boiling water until softened, about 3 minutes. Drain noodles and set aside. Heat 1 tablespoon vegetable oil in a small skillet. Cook and stir beaten eggs in hot oil until scrambled and firm. Set aside. Heat 1 teaspoon vegetable oil in a large skillet over medium heat. Cook and stir green onions in hot oil until softened, 2 to 3 minutes. Remove green onions to a plate; set aside. Heat remaining 1 teaspoon vegetable oil in the same skillet over medium heat. Cook and stir carrots, peas, and bell pepper separately until softened, removing each to the plate with green onions when done. Combine 2 tablespoons sesame oil with remaining 1 tablespoon vegetable oil in the same large skillet or a wok over medium heat. Fry cooked noodles in hot sesame-vegetable oil, tossing frequently, until golden, 3 to 5 minutes. Season with desired amounts of sesame oil, soy sauce, and reserved ramen seasoning packets; toss to coat. Stir in cooked vegetables, tossing frequently, until heated through, about 5 more minutes."
Japanese,Chicken Yakitori,10 mins,15 mins (Additional: 15 mins),40 mins,4,"10 wooden skewers, 4 skinless, boneless chicken thighs, cut into 1-inch cubes, 4 scallions, sliced into 1-inch pieces, ½ cup sake, ½ cup soy sauce, 3 tablespoons mirin, 2 tablespoons white sugar, 1 teaspoon vegetable oil, or to taste","Soak 10 wooden skewers in cold water for 15 minutes. Thread chicken pieces onto the soaked skewers, alternating with scallions. Combine sake, soy sauce, mirin, and sugar in a small saucepan and bring to a boil. Reduce heat and simmer for 5 minutes. Reserve 1/2 of the sauce for dipping. Heat a grill pan over high heat and lightly brush with vegetable oil. Add skewers and cook until chicken is no longer pink in the center, basting frequently with 1/2 of the sauce, 7 to 10 minutes per side"
Japanese,Deep Fried Shrimp ,10 mins,15 mins,25 mins,4,"1 pound medium shrimp, peeled (tails left on) and deveined, ½ teaspoon salt, ½ teaspoon ground black pepper, ½ teaspoon garlic powder, 1 cup all-purpose flour, 1 teaspoon paprika, 2 large eggs, beaten, 1 cup panko crumbs, 1 quart vegetable oil for frying","Place shrimp in a bowl and season with salt, pepper, and garlic powder. Mix flour and paprika together in a shallow bowl. Place eggs in a second bowl and panko in a third bowl. Heat oil in a deep fryer or deep skillet to 375 degrees F (190 degrees C). Dip each shrimp into flour mixture, then into egg, and finally into panko crumbs to coat. Fry a few shrimp at a time in the hot oil until golden brown, about 5 minutes. Remove with a slotted spoon and drain on paper towels before serving."
Japanese,Pork Gyoza, 1 hr,8 mins,1 hr 8 mins,6,"12 ounces ground pork, ¼ head cabbage, shredded, 1 egg, 2 spring onions, sliced, 1 tablespoon soy sauce, 2 teaspoons sake, 2 teaspoons mirin, 2 teaspoons minced fresh ginger root, 40 gyoza wrappers, or as needed, 2 tablespoons vegetable oil, ½ cup water. Sauce: ¼ cup rice wine vinegar, ¼ cup soy sauce","Combine ground pork, cabbage, egg, spring onions, 1 tablespoon soy sauce, sake, mirin, and ginger in a large bowl; mix well. Place approximately 1 to 2 teaspoons of the pork mixture in the center of each gyoza wrapper. Moisten your fingers with water and rub around the edges of each wrapper. Fold wrappers in half over filling, creating a semi circle. Take one side of the wrapper and make crimps along the edges for a decorative pattern (like pleats of a skirt) and press along the edges to seal the two sides together. Ensure there isn't much excess air caught inside the dumpling. Repeat until all the pork mixture is used.Heat vegetable oil in a large skillet over medium-high heat. Place as many gyoza in the skillet as fit in a single layer and fry until the bottom is browned, about 3 to 5 minutes. Add water to skillet and reduce heat. Cover and allow gyoza to steam until all the water has evaporated, about 5 minutes. Repeat with the remaining gyoza. Mix rice vinegar and soy sauce together for a dipping sauce and serve with the gyoza."
Japanese,Tsukune (MeatBalls),30 mins,12 mins,42 mins,8,"1 teaspoon vegetable oil, 1 teaspoon minced ginger, 1 teaspoon minced garlic, ¼ cup tamari, ¼ cup cooking sake, ¼ cup mirin, 2 tablespoons brown sugar, 1 teaspoon sesame seeds. Meatballs: 10 ½ ounces ground chicken, 1 egg, 3 green onions, chopped, ½ carrot, grated, ¼ cup panko bread crumbs, or to taste, 2 tablespoons red miso paste, or more to taste, 2 tablespoons grated ginger, 1 tablespoon potato starch, 1 tablespoon crumbled seaweed, 1 tablespoon tamari, or more to taste, 1 tablespoon cooking sake, or more to taste, 1 teaspoon soy sauce, 1 teaspoon white sugar, or more to taste, 1 teaspoon ground paprika, or more to taste.","Heat oil in a small pot over low heat. Add 1 teaspoon ginger and garlic; cook and stir until slightly browned, about 2 minutes. Stir in 1/4 cup tamari, 1/4 cup sake, mirin, brown sugar, and sesame seeds; simmer until glaze is slightly thickened, about 5 minutes. Combine ground chicken, egg, green onions, carrot, bread crumbs, miso, 2 tablespoons ginger, potato starch, seaweed, 1 tablespoon tamari, 1 tablespoon sake, soy sauce, white sugar, and paprika in a large bowl; mix well into a thick paste, at least 5 minutes. Preheat grill for medium heat and lightly oil the grate. Roll ground chicken mixture into balls the size of your palm. Flatten them slightly into patties. Grill until well-browned, 3 to 4 minutes. Flip and continue grilling until browned on the second side, 2 to 3 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Brush glaze over meatballs before serving."
Japanese,Japanese Agedashi Tofu ,10 mins,5 mins,30 mins,4,"1 (10.5 ounce) package firm silken tofu, 2 cups water, 2 tablespoons light soy sauce, 2 tablespoons mirin, 1 teaspoon dashi granules, ¼ cup all-purpose flour, or as needed, vegetable oil for frying, 2 green onions, chopped","Place the block of tofu between sheets of paper towels. Set a plate on top; add a 3- to 5-pound weight to the plate. Press tofu for 15 minutes; drain and discard the accumulated liquid. Meanwhile, combine water, soy sauce, mirin, and dashi in a saucepan. Bring to a boil over medium heat. Remove from heat and set aside. Remove weight, plate, and paper towels. Cut tofu into 3/4-inch cubes. Place flour in a bowl and lightly coat tofu with flour. Heat oil in a heavy pot and fry tofu until golden-brown, 4 to 6 minutes. Fry in batches if necessary so as not to overcrowd the pot. Place fried tofu in a serving dish and pour sauce on top. Sprinkle with green onions."
